CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
1,36,0,51
1,5,1,41
1,5,1,41
1,39,2,66
1,34,0,20
1,14,11,54
1,14,11,54
1,29,7,64
1,41,1,54
2,68,1,58
1,24,6,41
1,30,4,59
1,47,0,55
1,4,23,72
1,28,2,28
5,0,13,154
1,16,2,67
1,37,1,62
1,31,0,17
1,35,0,56
2,22,15,77
2,22,15,77
1,15,0,44
1,9,2,30
1,30,1,15
3,18,5,79
1,19,7,34
1,20,5,51
1,34,0,77
1,32,3,61
1,7,2,32
0,29,0,25
3,162,1,247
1,32,7,45
1,32,7,45
1,32,7,45
1,25,3,36
2,15,5,124
1,26,2,72
0,32,1,55
0,32,1,55
0,31,0,25
1,31,1,60
1,17,0,30
1,34,0,44
1,37,4,47
0,32,2,37
1,14,8,44
1,14,8,44
2,14,24,58
3,3,6,89
2,38,7,52
1,25,6,51
1,38,0,13
2,11,20,88
1,31,3,54
1,28,3,44
1,26,6,51
2,15,23,67
1,25,3,49
5,203,5,151
0,32,0,35
1,25,2,90
1,25,2,90
1,25,2,90
1,25,2,90
1,25,2,90
1,25,2,90
0,34,1,36
1,28,4,48
1,28,10,41
1,28,10,41
0,19,1,17
1,47,1,36
3,82,1,155
1,9,1,46
1,15,2,64
1,44,1,38
4,113,9,142
1,20,0,54
1,44,3,60
4,8,19,166
0,23,1,27
1,7,1,23
1,13,0,31
2,22,9,90
1,38,0,51
1,38,0,170
0,9,1,22
1,27,2,47
1,32,0,59
4,23,3,133
1,29,1,7
2,2,8,73
0,24,0,50
0,9,1,25
3,18,2,90
2,26,3,81
0,20,1,29
1,16,1,44
1,12,0,65
1,28,10,53
1,28,10,53
1,28,10,53
0,23,0,56
1,26,3,57
0,35,0,62
1,27,4,49
1,34,0,32
2,92,0,163
4,3,36,126
4,3,36,126
2,9,22,63
2,27,10,53
2,38,10,86
2,44,4,112
3,155,2,151
4,24,0,121
2,48,0,69
1,34,3,47
1,34,4,69
1,32,6,64
1,20,1,10
1,30,3,38
1,27,3,59
1,30,5,67
2,13,16,75
2,18,21,60
1,36,0,25
1,30,8,41
1,28,2,44
1,26,1,29
3,168,5,99
3,168,5,99
1,25,3,23
1,26,4,41
0,33,1,36
2,12,0,59
0,33,2,35
0,29,0,13
1,29,3,51
4,9,6,103
1,30,4,35
0,27,2,21
0,27,2,21
1,45,0,307
2,26,16,61
1,42,2,37
1,42,2,37
0,32,1,42
1,23,0,102
1,53,1,64
1,45,0,38
1,69,1,60
1,41,1,50
2,125,1,82
1,25,1,41
1,34,3,52
1,47,1,44
1,36,3,34
1,19,0,37
1,27,1,46
1,18,12,64
2,52,8,92
1,20,0,35
2,53,1,88
0,45,0,43
1,24,7,58
2,35,5,143
2,36,8,187
1,29,6,58
1,27,8,65
2,66,0,73
3,33,9,98
3,33,9,98
4,45,10,156
4,8,18,163
1,35,0,21
1,37,4,69
4,15,4,105
2,37,8,64
1,32,5,54
1,18,10,80
1,36,1,50
1,25,3,35
1,27,0,55
1,27,0,55
0,28,0,13
0,26,0,20
2,107,5,86
0,22,0,20
3,7,25,76
3,7,25,76
2,14,1,104
1,28,1,15
1,28,1,19
1,29,1,39
3,5,10,104
1,40,3,57
1,29,2,20
1,29,2,20
0,34,1,26
0,30,1,32
1,38,1,466
0,28,0,52
0,23,0,27
0,28,2,38
1,23,6,56
1,117,1,78
2,57,1,92
2,32,7,124
2,68,6,57
1,26,0,68
1,4,2,39
1,36,5,38
0,17,1,17
0,4,0,21
3,119,1,151
1,38,0,35
1,40,0,49
2,4,5,72
1,32,2,73
1,2,0,46
1,12,9,35
0,24,1,16
1,14,2,45
1,12,6,65
1,34,4,112
0,19,0,11
0,31,2,22
4,4,19,152
1,21,1,31
1,12,0,13
2,28,9,103
1,35,0,52
0,30,2,13
0,25,0,73
1,2,4,42
0,35,0,30
1,25,5,46
2,13,0,63
1,26,1,39
1,18,6,56
1,18,6,56
1,18,6,56
1,18,6,56
1,18,6,56
1,18,6,56
1,18,6,56
2,13,2,105
2,90,1,93
0,22,0,45
1,8,1,54
0,29,2,36
1,35,5,50
1,34,0,153
1,36,5,48
0,24,0,24
3,179,2,166
1,26,1,151
2,45,0,92
1,39,1,48
1,16,2,104
1,27,1,51
1,27,1,51
0,20,0,38
1,27,5,41
1,46,2,47
0,29,3,18
0,29,3,18
0,29,3,18
1,32,3,37
2,2,9,61
1,17,2,46
2,13,27,79
1,24,9,53
1,24,9,53
1,38,2,39
1,41,0,42
1,36,0,47
1,27,4,32
0,6,1,25
2,26,7,73
1,22,11,52
3,9,11,94
2,22,1,80
1,45,0,48
1,33,0,156
0,27,0,10
1,20,0,55
3,32,2,76
1,2,0,36
1,18,1,41
1,44,4,56
1,43,5,58
1,43,5,58
1,43,5,58
1,32,7,45
1,41,0,50
1,46,2,31
1,46,2,31
1,46,2,31
1,46,2,31
3,7,8,77
1,33,1,63
1,27,0,59
0,17,0,35
2,111,1,391
2,60,3,55
1,48,0,12
1,32,0,26
1,32,0,26
0,32,1,56
1,32,1,30
0,29,2,29
0,19,0,28
0,8,0,18
1,40,2,34
0,32,1,58
0,16,1,30
0,16,1,30
1,36,0,30
1,30,0,49
1,14,1,32
1,22,4,28
1,21,1,13
1,1,0,30
1,30,1,32
1,62,4,80
14,1,23,182
1,60,0,284
1,44,5,62
1,48,1,226
1,48,1,226
0,12,0,16
0,12,0,16
1,27,2,30
2,26,12,55
1,46,0,14
1,16,0,48
1,43,2,39
1,44,4,52
0,16,0,36
0,39,0,23
1,25,9,58
1,21,6,56
2,15,17,76
2,15,17,76
2,15,17,76
2,15,17,76
2,15,17,76
2,15,17,76
2,15,17,76
2,15,17,76
2,15,17,76
2,15,17,76
1,3,0,25
1,30,1,40
1,47,2,27
1,31,1,42
1,23,0,50
1,18,13,62
0,9,1,25
1,34,0,10
1,29,0,46
1,39,0,12
3,18,2,101
1,22,3,60
1,24,5,93
1,28,8,25
1,22,1,39
1,27,10,44
1,42,0,12
1,32,4,62
1,22,6,35
1,25,3,27
0,18,0,19
1,51,1,175
1,33,1,28
1,3,3,37
0,30,2,27
1,10,16,61
1,39,1,68
2,21,11,57
1,29,2,27
1,30,3,25
1,22,1,35
1,21,4,37
3,8,1,76
3,46,3,90
1,26,9,34
1,30,1,65
0,28,2,29
1,27,8,37
1,29,3,72
7,0,21,169
1,25,3,36
1,37,2,46
0,29,2,26
1,43,6,77
1,38,2,53
0,25,3,30
0,30,1,31
0,19,0,27
0,19,0,27
0,19,0,27
0,19,0,27
0,19,0,27
0,19,0,27
0,28,2,30
0,24,2,25
2,22,14,57
2,22,14,57
2,22,14,57
1,28,1,66
0,33,1,26
1,12,13,37
1,20,0,50
1,26,2,46
1,24,2,49
0,31,2,31
0,29,3,34
2,21,3,176
1,20,3,35
1,32,1,28
1,29,0,32
1,29,0,32
1,29,0,32
1,29,0,32
4,14,7,117
1,25,2,56
1,36,0,171
1,18,14,53
1,18,14,53
1,26,3,40
1,18,1,34
1,22,6,69
2,23,1,74
1,17,4,118
0,30,1,25
0,28,2,35
0,28,2,34
0,28,2,34
2,35,8,73
1,40,1,24
1,43,0,443
0,27,2,28
1,27,12,52
2,20,20,70
0,33,0,5
1,59,1,23
0,30,1,24
4,169,3,150
1,27,11,61
1,27,11,61
0,21,0,58
0,18,0,6
0,20,0,20
0,31,0,30
3,138,2,112
1,19,1,39
0,17,0,44
1,74,1,35
0,22,0,95
1,30,8,40
1,37,1,75
1,41,0,64
0,21,1,40
1,30,3,59
1,48,0,35
0,22,0,104
1,30,0,10
1,30,0,10
1,39,0,20
2,6,0,59
1,28,0,29
1,34,1,24
1,34,1,24
1,26,2,36
0,30,1,27
1,33,1,48
1,33,0,9
1,33,0,9
1,8,3,37
1,30,6,60
2,5,4,55
2,14,19,58
0,28,2,41
1,15,1,31
1,8,0,24
1,78,3,51
1,43,0,30
1,30,0,150
1,31,2,25
2,116,0,64
1,17,3,36
2,9,9,95
2,9,9,95
6,10,3,171
1,32,0,24
1,32,0,59
1,24,0,19
1,36,1,78
1,27,0,59
1,30,2,14
1,40,1,84
1,75,1,34
1,6,14,54
1,23,5,39
0,20,1,36
1,31,6,53
1,31,6,53
1,31,6,53
1,29,2,112
0,31,0,130
1,40,2,23
1,37,6,59
1,29,2,17
2,17,0,62
2,23,1,65
1,31,0,78
1,25,1,56
4,7,8,121
1,14,0,3
1,14,0,3
1,14,0,3
1,14,0,3
1,14,0,3
1,23,10,95
1,33,3,52
0,34,2,32
1,42,1,72
1,7,1,47
0,19,0,22
0,19,0,22
0,11,0,41
2,134,1,159
2,33,5,89
1,32,2,32
1,29,3,40
1,19,4,30
1,19,4,30
0,24,0,73
0,24,0,73
0,24,0,73
1,21,1,59
2,34,1,92
1,40,0,52
0,33,0,32
0,33,0,32
0,33,0,32
0,33,0,32
0,33,0,32
2,30,11,54
0,31,2,21
1,22,7,50
1,36,1,53
1,44,1,16
1,35,0,37
1,30,3,54
0,25,0,163
1,7,6,40
1,62,0,101
1,45,0,160
1,39,0,89
1,13,0,56
1,8,13,74
1,8,13,74
1,48,3,36
0,12,0,11
1,28,10,42
1,27,4,19
0,15,0,10
1,42,2,82
2,10,8,67
1,14,0,40
4,20,0,90
2,21,0,43
1,42,0,435
1,29,0,55
0,15,0,25
3,15,1,75
1,37,0,13
0,21,0,50
1,17,3,34
1,30,5,49
1,26,7,53
1,7,14,72
1,15,0,48
1,25,4,43
1,26,4,41
1,40,2,20
1,8,4,61
1,28,4,42
1,36,3,67
1,30,3,22
1,30,3,22
1,14,3,50
1,36,1,52
1,28,2,58
1,14,10,58
0,19,0,33
4,25,4,138
1,36,0,33
1,36,0,169
1,31,6,49
1,23,6,18
1,24,3,63
1,31,1,21
0,34,1,31
0,16,0,36
1,25,11,49
2,16,4,59
2,151,1,180
0,27,0,13
3,176,2,194
2,17,1,74
1,35,1,13
1,29,2,20
1,29,2,20
0,25,0,54
2,18,21,58
0,35,1,42
0,27,0,30
7,206,9,167
1,22,5,51
3,157,1,126
1,36,0,87
0,16,0,32
1,38,2,55
1,22,5,45
1,40,1,55
3,8,37,114
1,31,1,50
0,13,1,12
1,33,2,30
0,38,1,19
1,33,2,23
1,21,2,47
1,21,2,47
1,33,2,29
4,99,5,97
1,22,0,66
1,28,1,52
1,23,2,70
1,27,4,38
1,14,0,32
3,0,10,72
0,28,1,29
1,36,0,67
1,22,0,54
1,49,0,36
1,32,1,15
0,16,0,17
1,33,0,10
1,44,4,31
1,24,10,61
1,24,10,61
1,25,0,19
0,34,1,52
1,31,0,31
1,23,3,38
1,23,3,38
1,6,5,52
1,48,2,34
0,29,1,40
1,39,4,38
1,25,0,34
2,42,8,111
2,10,27,77
1,6,1,52
1,33,3,44
1,37,1,30
0,31,1,39
3,102,4,179
1,27,2,51
0,27,3,36
0,29,1,50
1,28,9,51
3,5,9,79
3,5,9,79
3,5,9,79
3,11,11,99
1,24,2,17
1,32,2,26
1,29,2,23
1,34,0,81
0,40,0,74
1,30,0,130
2,1,3,55
