temperature_salon,humidity_salon,weather,weather1,temperature,humidity
29,59.6,3,cloudy,29,59
27.9,53.6,1,sunny,27,53
27.5,56.7,2,rainy,27,56
26.8,56.3,2,rainy,26,56
26.7,56.4,3,cloudy,26,56
26.1,58.2,1,sunny,26,58
26,58.2,2,rainy,26,58
26,58.2,2,rainy,26,58
25.7,58.2,1,sunny,25,58
25.5,58.6,3,cloudy,25,58
25.4,58.9,1,sunny,25,58
25.4,58.9,2,rainy,25,58
25.1,59.6,2,rainy,25,59
25,60.2,1,sunny,25,60
25,59,2,rainy,25,59
26.1,58.159375,3,cloudy,26,58
25.83125,58.178125,2,rainy,25,58
25.63125,58.571875,3,cloudy,25,58
25.45,58.753125,1,sunny,25,58
25.30625,58.996875,3,cloudy,25,58
25.16875,59.271875,3,cloudy,25,59
25.0625,59.428125,1,sunny,25,59
24.95625,59.578125,2,rainy,24,59
24.853125,59.678125,2,rainy,24,59
24.759375,59.765625,3,cloudy,24,59
24.671875,59.865625,1,sunny,24,59
24.584375,59.878125,3,cloudy,24,59
24.50625,59.85,3,cloudy,24,59
24.43125,59.8875,3,cloudy,24,59
24.35625,59.83125,1,sunny,24,59
24.275,59.86875,2,rainy,24,59
24.20625,59.8625,1,sunny,24,59
24.1375,59.90625,3,cloudy,24,59
24.06875,59.94375,1,sunny,24,59
24.01875,59.975,3,cloudy,24,59
23.9875,59.95,2,rainy,23,59
23.9625,59.80625,3,cloudy,23,59
23.95625,59.64375,3,cloudy,23,59
24,59.94375,3,cloudy,24,59
24.075,60.375,1,sunny,24,60
24.1625,60.7625,2,rainy,24,60
24.29375,61.0625,2,rainy,24,61
24.43125,61.45625,1,sunny,24,61
24.58125,61.8625,3,cloudy,24,61
24.7375,62.175,3,cloudy,24,62
24.90625,62.525,2,rainy,24,62
25.0875,62.8625,3,cloudy,25,62
25.278125,63.1875,1,sunny,25,63
25.484375,63.425,1,sunny,25,63
25.703125,64,2,rainy,25,64
25.915625,64.51875,3,cloudy,25,64
26.128125,64.95,3,cloudy,26,64
26.328125,65.41875,3,cloudy,26,65
26.471875,65.25,2,rainy,26,65
26.571875,64.45625,3,cloudy,26,64
26.653125,63.46875,1,sunny,26,63
