weather,weather1,temperature,humidity
3,cloudy,29,59
1,sunny,27,53
2,rainy,27,56
2,rainy,26,56
3,cloudy,26,56
1,sunny,26,58
2,rainy,26,58
2,rainy,26,58
1,sunny,25,58
3,cloudy,25,58
1,sunny,25,58
2,rainy,25,58
2,rainy,25,59
1,sunny,25,60
2,rainy,25,59
3,cloudy,26,58
2,rainy,25,58
3,cloudy,25,58
1,sunny,25,58
3,cloudy,25,58
3,cloudy,25,59
1,sunny,25,59
2,rainy,24,59
2,rainy,24,59
3,cloudy,24,59
1,sunny,24,59
3,cloudy,24,59
3,cloudy,24,59
3,cloudy,24,59
1,sunny,24,59
2,rainy,24,59
1,sunny,24,59
3,cloudy,24,59
1,sunny,24,59
3,cloudy,24,59
2,rainy,23,59
3,cloudy,23,59
3,cloudy,23,59
3,cloudy,24,59
1,sunny,24,60
2,rainy,24,60
2,rainy,24,61
1,sunny,24,61
3,cloudy,24,61
3,cloudy,24,62
2,rainy,24,62
3,cloudy,25,62
1,sunny,25,63
1,sunny,25,63
2,rainy,25,64
3,cloudy,25,64
3,cloudy,26,64
3,cloudy,26,65
2,rainy,26,65
3,cloudy,26,64
1,sunny,26,63
3,cloudy,26,62
1,sunny,26,61
1,sunny,26,60
1,sunny,26,59
1,sunny,26,58
2,rainy,27,57
1,sunny,27,56
3,cloudy,27,55
3,cloudy,27,54
2,rainy,27,54
1,sunny,27,53
1,sunny,27,53
3,cloudy,27,52
3,cloudy,27,51
2,rainy,27,51
1,sunny,27,51
1,sunny,27,51
2,rainy,27,51
2,rainy,27,52
2,rainy,27,52
2,rainy,27,53
2,rainy,27,54
3,cloudy,27,54
3,cloudy,27,54
1,sunny,27,55
2,rainy,27,54
3,cloudy,27,54
3,cloudy,27,53
3,cloudy,27,54
2,rainy,27,54
2,rainy,27,54
1,sunny,27,54
3,cloudy,27,54
1,sunny,27,54
2,rainy,27,54
1,sunny,27,54
2,rainy,27,54
1,sunny,27,54
2,rainy,27,54
3,cloudy,27,54
2,rainy,27,54
2,rainy,27,54
1,sunny,27,55
3,cloudy,27,55
2,rainy,27,56
2,rainy,27,56
3,cloudy,27,56
1,sunny,27,57
3,cloudy,27,57
3,cloudy,27,58
1,sunny,27,58
3,cloudy,27,58
2,rainy,27,58
3,cloudy,27,59
3,cloudy,27,59
2,rainy,27,59
2,rainy,27,59
3,cloudy,27,60
2,rainy,27,60
2,rainy,27,60
2,rainy,27,60
2,rainy,27,60
3,cloudy,27,60
3,cloudy,27,60
3,cloudy,27,60
1,sunny,27,60
2,rainy,27,61
3,cloudy,27,61
3,cloudy,27,61
2,rainy,27,61
3,cloudy,27,60
1,sunny,27,60
3,cloudy,27,60
3,cloudy,27,60
1,sunny,27,60
1,sunny,27,60
3,cloudy,27,59
2,rainy,27,59
3,cloudy,27,58
3,cloudy,27,58
1,sunny,27,58
1,sunny,27,57
1,sunny,27,57
2,rainy,27,56
3,cloudy,27,56
1,sunny,27,56
2,rainy,27,55
1,sunny,27,55
1,sunny,27,55
1,sunny,27,54
1,sunny,27,54
2,rainy,28,55
3,cloudy,28,55
3,cloudy,28,55
1,sunny,28,55
2,rainy,28,55
1,sunny,28,56
1,sunny,28,55
3,cloudy,28,55
2,rainy,28,55
1,sunny,28,55
3,cloudy,28,55
2,rainy,28,54
2,rainy,28,54
3,cloudy,28,54
3,cloudy,28,53
1,sunny,28,53
1,sunny,28,52
3,cloudy,28,52
1,sunny,28,52
1,sunny,28,51
1,sunny,28,51
1,sunny,28,50
3,cloudy,28,50
1,sunny,28,51
3,cloudy,28,51
2,rainy,28,51
2,rainy,28,51
2,rainy,28,51
3,cloudy,28,52
1,sunny,28,52
2,rainy,28,52
1,sunny,28,53
1,sunny,28,53
3,cloudy,28,54
1,sunny,28,55
1,sunny,28,56
3,cloudy,28,56
2,rainy,28,57
3,cloudy,28,58
3,cloudy,28,59
2,rainy,28,59
1,sunny,28,60
2,rainy,28,61
1,sunny,28,61
2,rainy,28,62
1,sunny,28,62
3,cloudy,28,63
1,sunny,28,63
1,sunny,28,63
2,rainy,28,63
1,sunny,28,63
1,sunny,28,63
3,cloudy,28,63
3,cloudy,28,63
3,cloudy,27,63
1,sunny,27,63
3,cloudy,27,63
2,rainy,27,63
2,rainy,27,64
2,rainy,27,64
3,cloudy,27,64
3,cloudy,27,64
2,rainy,27,64
2,rainy,27,64
2,rainy,27,65
3,cloudy,27,65
1,sunny,27,65
3,cloudy,27,65
2,rainy,27,65
2,rainy,27,66
2,rainy,27,66
2,rainy,27,66
3,cloudy,27,66
2,rainy,27,66
3,cloudy,27,66
1,sunny,27,66
2,rainy,26,66
2,rainy,26,66
1,sunny,26,66
1,sunny,26,66
1,sunny,26,66
1,sunny,27,66
1,sunny,27,66
3,cloudy,27,66
3,cloudy,27,66
2,rainy,27,66
2,rainy,27,65
2,rainy,27,65
2,rainy,27,65
3,cloudy,27,65
2,rainy,27,64
3,cloudy,27,64
2,rainy,27,64
3,cloudy,27,64
1,sunny,27,63
3,cloudy,28,63
1,sunny,28,63
1,sunny,28,63
1,sunny,28,62
2,rainy,28,62
3,cloudy,28,62
2,rainy,28,62
2,rainy,28,62
2,rainy,28,62
3,cloudy,28,61
2,rainy,28,61
2,rainy,28,61
3,cloudy,28,61
2,rainy,28,60
3,cloudy,28,60
3,cloudy,28,60
3,cloudy,28,60
3,cloudy,29,59
2,rainy,29,59
3,cloudy,29,59
3,cloudy,29,58
1,sunny,29,58
2,rainy,29,58
3,cloudy,29,57
3,cloudy,29,57
2,rainy,29,57
1,sunny,29,56
3,cloudy,29,56
2,rainy,29,55
1,sunny,29,55
2,rainy,29,54
1,sunny,29,54
1,sunny,29,53
3,cloudy,29,53
2,rainy,29,53
3,cloudy,29,53
3,cloudy,29,53
3,cloudy,29,53
3,cloudy,29,53
3,cloudy,29,53
2,rainy,29,53
1,sunny,29,53
3,cloudy,29,54
3,cloudy,29,54
3,cloudy,29,55
2,rainy,29,55
2,rainy,29,56
1,sunny,29,57
3,cloudy,29,57
3,cloudy,29,58
3,cloudy,29,58
2,rainy,29,58
2,rainy,29,59
1,sunny,29,59
1,sunny,29,59
3,cloudy,28,60
2,rainy,28,60
3,cloudy,28,60
1,sunny,28,60
2,rainy,28,60
1,sunny,28,60
3,cloudy,28,60
2,rainy,28,60
3,cloudy,28,60
3,cloudy,28,60
3,cloudy,28,60
2,rainy,28,60
2,rainy,28,60
2,rainy,27,60
2,rainy,27,61
3,cloudy,27,61
1,sunny,27,61
1,sunny,27,61
3,cloudy,27,61
3,cloudy,27,62
2,rainy,27,62
1,sunny,27,62
3,cloudy,27,62
3,cloudy,27,62
2,rainy,27,62
1,sunny,27,62
3,cloudy,27,62
2,rainy,27,62
1,sunny,27,62
3,cloudy,27,61
3,cloudy,27,61
2,rainy,27,61
3,cloudy,28,61
2,rainy,28,60
2,rainy,28,60
