Humidity,Temperature,Weather
9.472222222,0.89,4.33
9.355555556,0.86,3.86
9.377777778,0.89,9.73
8.288888889,0.83,6.86
8.755555556,0.83,7.8
9.222222222,0.85,8.7
7.733333333,0.95,16.46
8.772222222,0.89,3.1
10.82222222,0.82,9.1
13.77222222,0.72,9.76
16.01666667,0.67,17.9
17.14444444,0.54,2.2
17.8,0.55,8.23
17.33333333,0.51,11.26
18.87777778,0.47,19.76
18.91111111,0.46,9.23
15.38888889,0.6,11.2
15.55,0.63,6.16
14.25555556,0.69,18.83
13.14444444,0.7,21.8
11.55,0.77,11.76
11.18333333,0.76,3.7
10.11666667,0.79,12.86
10.2,0.77,0.36
10.42222222,0.62,10.5
9.911111111,0.66,1.83
11.18333333,0.8,0
7.155555556,0.79,0
6.111111111,0.82,11.26
6.788888889,0.83,5.2
7.261111111,0.85,9.03
7.8,0.83,4.93
9.872222222,0.78,3.83
12.22222222,0.72,13.76
15.09444444,0.61,5.93
17.35555556,0.52,4.2
19.00555556,0.46,4.2
20.04444444,0.4,5.8
21.05,0.4,12.93
21.18333333,0.37,2.7
20.11666667,0.4,5.16
20.21666667,0.36,7.4
20,0.43,0
17.8,0.5,2.2
16.06111111,0.53,3.06
15.02222222,0.55,1.56
14.42222222,0.58,4.06
14.25555556,0.59,0
13.77222222,0.6,0.86
13.28333333,0.63,6.56
8.633333333,0.87,2.13
11.25,0.83,2.76
11.18333333,0.89,7.73
10.69444444,0.95,6.16
11.11111111,0.93,3.63
11.11111111,0.93,6.46
12.16666667,0.82,1.83
12.75555556,0.79,4.43
13.83888889,0.84,18.8
16.18333333,0.73,4.9
17.51666667,0.67,3.86
17.38333333,0.67,1.86
17.36111111,0.71,1.4
17.20555556,0.74,3.13
15.63333333,0.81,0.4
13.57777778,0.9,7.2
10.91111111,0.86,4.46
8.8,0.99,1.93
8.961111111,0.93,8.86
8.2,0.96,6.2
7.688888889,0.96,6.43
7.766666667,0.96,6.43
8.2,0.96,6.23
8.177777778,0.93,5.16
7.311111111,0.82,4.6
7.644444444,0.93,4.83
6.622222222,0.93,4.53
6.683333333,0.93,3.33
6.088888889,0.93,6.93
6.066666667,0.93,9.33
6.144444444,0.93,6.16
7.133333333,0.8,5.73
7.205555556,0.86,6.9
7.566666667,0.84,6.83
8.9,0.77,5.06
9.961111111,0.71,5.1
9.888888889,0.71,10.93
11.06666667,0.71,3.06
10.11666667,0.76,5.46
11.03888889,0.66,5
10.65,0.7,3.33
10.05,0.7,5.13
9.9,0.66,8.4
8.794444444,0.71,8.86
7.827777778,0.72,6.06
7.855555556,0.72,3
7.316666667,0.75,2.56
7.244444444,0.75,2.66
5.438888889,0.88,12.16
7.2,0.76,10.9
6.688888889,0.7,8.2
6.211111111,0.73,10.53
6.111111111,0.76,9.73
6.111111111,0.76,9.96
6.172222222,0.76,6.06
7.222222222,0.71,13.2
7.288888889,0.73,10.73
7.405555556,0.72,11.83
7.961111111,0.7,11.46
8.033333333,0.7,10
9.077777778,0.65,11.86
9.05,0.62,8.63
9.05,0.65,11.06
9.183333333,0.65,8.96
9.072222222,0.7,8.36
7.983333333,0.75,8.1
8.072222222,0.75,4.9
7.894444444,0.82,5.96
7.311111111,0.83,5.96
7.338888889,0.84,7.73
6.622222222,0.85,2.93
6.066666667,0.88,7.93
8.338888889,0.88,6.7
5.183333333,0.91,5.6
3.722222222,0.94,3.43
4.855555556,0.93,8.33
5.211111111,0.92,11.93
6.255555556,0.92,5.36
7.794444444,0.87,6.66
10.05,0.76,4.6
12.2,0.66,5.66
12.7,0.63,7.53
13.93333333,0.58,5.36
15.09444444,0.59,3.46
15.15,0.5,11.83
16.17777778,0.44,11.6
16.25,0.55,11.56
16.29444444,0.5,8.96
16.1,0.56,12.96
12.95555556,0.68,11.13
13.85,0.64,13.3
12.77777778,0.69,11.16
12.15,0.72,12.5
10.67777778,0.81,0
10.44444444,0.83,13.23
9.822222222,0.8,9.56
11.02777778,0.74,11.56
7.138888889,0.93,7.76
7.622222222,0.89,9.36
7.627777778,0.86,13.73
7.044444444,0.86,9.03
8.6,0.84,4.56
9.65,0.84,2.36
12.10555556,0.72,9.76
12.77777778,0.71,5.76
13.81111111,0.65,5.43
16.01666667,0.48,5.56
17.12777778,0.47,4.13
17.14444444,0.43,5.96
17.77777778,0.4,9.26
17.77777778,0.37,8.13
17.80555556,0.43,8.63
16.15555556,0.52,7.5
14.05,0.63,5.5
13.08888889,0.67,9.03
12.28888889,0.72,18.86
12.77777778,0.66,1.8
12.72777778,0.67,4.83
12.26666667,0.69,6.4
11.71111111,0.71,6.16
10.82777778,0.86,11
12.2,0.59,9
12.2,0.6,0.53
11.68888889,0.68,1.6
11.20555556,0.77,6.26
11.13333333,0.77,2.33
11.43888889,0.77,9.03
13.03333333,0.81,5.7
17.24444444,0.62,9.43
17.73888889,0.53,6.7
17.84444444,0.56,6.83
18.86111111,0.56,6.36
18.66666667,0.56,10.86
17.82222222,0.56,7.8
17.8,0.59,3.46
17.35,0.57,3.4
16.06666667,0.67,1.03
14.93333333,0.73,7.96
13.92222222,0.78,2.96
12.75555556,0.84,6.6
12.75555556,0.84,6.16
12.37222222,0.86,52.6
11.18333333,0.93,6.26
11.66666667,0.9,10.1
8.977777778,0.95,4.63
10.57777778,0.93,5.06
10.53333333,0.89,1.8
10.58888889,0.87,6.23
9.983333333,0.89,8.86
11.02222222,0.86,13.73
13.53888889,0.75,7.3
13.88888889,0.68,8.63
15,0.67,11.7
17.18333333,0.57,11.23
16.2,0.62,11.5
17.75,0.56,10.16
18.40555556,0.54,4.43
17.82222222,0.59,2.3
17.31111111,0.57,4.2
17.50555556,0.55,2.36
17.26666667,0.54,1.86
15.13888889,0.61,5.03
13.25,0.69,7.9
12.29444444,0.72,10.76
10.7,0.79,7.8
9.855555556,0.85,9.46
9.522222222,0.88,8.1
8.405555556,0.92,11.4
13.01111111,0.82,12.43
7.733333333,0.96,8.53
6.138888889,0.96,11.93
6.472222222,0.95,11.46
6.627777778,0.96,12.7
8.688888889,0.93,11.23
11.99444444,0.81,5.46
13.76666667,0.78,7.16
15.08888889,0.77,3.96
16.45555556,0.68,5.1
17.31111111,0.62,9.46
17.87222222,0.64,3.5
19.03888889,0.47,7.86
18.97777778,0.51,3.4
19.00555556,0.55,4
19.01111111,0.53,19.93
17.86666667,0.64,2.8
17.26666667,0.62,7.13
16.18888889,0.61,8.3
14.88333333,0.72,13.96
14.32777778,0.75,8.8
14.51111111,0.75,8.3
14.37222222,0.75,9.53
14.87777778,0.72,9.13
10.40555556,0.92,7.83
12.82222222,0.83,5.9
12.8,0.85,7.36
12.82777778,0.86,1.13
12.26666667,0.85,3.86
12.26666667,0.85,2.3
12.18333333,0.82,2.53
12.17222222,0.8,6.16
12.71111111,0.83,8.4
15.60555556,0.78,10.5
16.02222222,0.78,3.26
17.2,0.67,7.2
17.21666667,0.71,3.93
17.82777778,0.69,3.6
17.82777778,0.69,5.66
17.73333333,0.69,4.23
16.27222222,0.71,2.5
13.16666667,0.93,3.53
13.25555556,0.93,3.73
13.01111111,0.93,0.5
12.45555556,0.91,5.76
12.48888889,0.9,4.73
9.555555556,0.8,8
10.62222222,0.79,4.1
8.722222222,0.93,9.56
10.53333333,0.77,13.2
9.444444444,0.83,4.63
9.888888889,0.83,7.73
10.36666667,0.78,13.03
8.888888889,0.89,4.23
9.977777778,0.84,4.9
12.2,0.73,6.73
13.96111111,0.67,3.16
14.94444444,0.67,5
16.18333333,0.71,5.93
16.36666667,0.61,13.9
17.37222222,0.57,9.56
17.67222222,0.51,5.1
17.72222222,0.53,6.4
16.23888889,0.61,4.93
14.06666667,0.71,6.2
13.95555556,0.76,8.46
12.28888889,0.8,6.26
10.02222222,0.86,8.06
9.377777778,0.86,1.6
9.416666667,0.9,9.33
11.82777778,0.92,6.5
10.76111111,0.91,3.6
12.15555556,0.95,4.7
9.672222222,0.94,3.6
8.15,0.94,9.33
10.2,0.95,4.26
10.11666667,0.99,4.83
10.16111111,0.99,6.2
11.24444444,0.98,7.2
12.24444444,0.99,0.5
13.91111111,0.92,2.53
15.61666667,0.82,4.96
15.07222222,0.86,5.2
15.07222222,0.82,3.2
14.26666667,0.87,7.6
16.01666667,0.81,7.23
15.02777778,0.86,5.26
13.94444444,0.89,6.23
12.91666667,0.95,9.4
12.89444444,0.95,8.16
12.4,0.98,5.6
12.26666667,0.99,10.96
12.22222222,0.96,16.13
11.25,0.96,8.33
11.52777778,0.96,0.43
11.53888889,0.96,1.9
9.438888889,0.96,0.8
11.43888889,0.96,6.55
11.39444444,0.96,8.34
11.52777778,0.96,6.58
11.95,0.93,7.55
11.97222222,1,4.02
12.63333333,0.96,5.42
12.75555556,0.96,18
13.84444444,0.9,3.98
13.17222222,0.94,14.3
15.06666667,0.86,5.88
17.24444444,0.75,18.5
16.31666667,0.76,1.58
17.38333333,0.74,1.35
15.27222222,0.76,9.45
17.45555556,0.72,14.15
16.22222222,0.77,1.81
15.08333333,0.82,13.51
13.99444444,0.88,5.17
12.17222222,0.92,14.55
11.08888889,0.95,16.28
11.09444444,0.95,18.08
9.883333333,0.96,1.72
9.355555556,0.96,16.57
9.861111111,0.96,0.32
8.272222222,0.99,8.87
8.866666667,0.96,2.34
8.816666667,0.96,0
7.155555556,1,14
8.85,0.99,6.31
11.17777778,0.93,18.64
12.38888889,0.98,18.52
14.14444444,0.88,5.15
17.1,0.72,4.65
18.93888889,0.64,12.25
17.91666667,0.68,2.42
19.98333333,0.53,4.5
20.07222222,0.62,5.17
20.07222222,0.56,3.64
20.08333333,0.58,4.98
19.08888889,0.63,3.81
17.45,0.62,7.5
15.56666667,0.74,7.78
12.49444444,0.91,0
12.24444444,0.89,1.75
11.41666667,0.92,5.4
10.55555556,0.95,3.8
10.46666667,0.93,2.94
10.25,0.95,0
9.355555556,0.96,3.42
8.311111111,0.96,5.81
8.811111111,0.96,1.58
8.733333333,0.93,3.04
11.93333333,0.93,5.14
14.51666667,0.84,2.5
18.73333333,0.68,4.04
20.02777778,0.6,8.04
21.03888889,0.55,3.62
20.73888889,0.46,4.45
22.31666667,0.48,9.58
22.11111111,0.5,2.22
22.73333333,0.38,3.6
22.77777778,0.37,5.4
21.21666667,0.41,0.92
20.18333333,0.45,2.92
18.01111111,0.68,0.8
17.42222222,0.65,4.31
13.96111111,0.82,1.48
13.28888889,0.89,2.14
12.32222222,0.89,7.78
11.11666667,0.95,5.05
10.53333333,0.95,6.18
12.38333333,0.8,6.18
9.861111111,0.96,8.45
8.872222222,0.95,6.9
8.672222222,0.94,7.41
7.688888889,1,8.52
10.91111111,0.99,8.34
14.83888889,0.82,5.75
18.8,0.65,7.37
21.09444444,0.49,6.24
22.02777778,0.49,7.4
22.82777778,0.47,6.28
22.91666667,0.37,6.87
23.91666667,0.37,7.2
23.91111111,0.4,4.17
23.93333333,0.37,6.84
23.91666667,0.32,10.48
22.82222222,0.44,7.4
21.22777778,0.48,7.84
19.07777778,0.51,8.22
17.06111111,0.63,1.98
14.90555556,0.72,5.08
13.08333333,0.87,6.47
12.71111111,0.89,5.25
12.12777778,0.89,5.11
11.81111111,0.84,1.9
12.01666667,0.8,2.08
12.04444444,0.8,3.94
10.62777778,0.86,8.92
9.911111111,0.99,7.71
12.55555556,0.9,7.97
15.00555556,0.78,9.07
17.33888889,0.74,8.62
19.1,0.67,10.2
21.26111111,0.57,4.52
22.41111111,0.54,6.75
22.93888889,0.5,8.75
23.92777778,0.47,7.35
23.96111111,0.47,9.8
23.96111111,0.38,8.8
23.11111111,0.42,10
22.82222222,0.44,9.77
21.11111111,0.47,9.67
18.18888889,0.58,10.24
16.01666667,0.72,12
15.46666667,0.72,9.98
14.60555556,0.76,7.94
13.31111111,0.82,7.47
12.73333333,0.83,10.34
13.78888889,0.77,6.97
10.57777778,0.88,2.14
10.48333333,0.92,7.82
10.28888889,0.91,6.91
9.972222222,0.92,5.31
13.63888889,0.9,6.15
16.73888889,0.74,8.01
18.83888889,0.65,8.84
21.16111111,0.59,6.58
22.58888889,0.53,4.03
22.89444444,0.48,5.52
24.00555556,0.47,6.44
24.00555556,0.35,5.88
23.97777778,0.44,4.67
25.04444444,0.32,6.34
24.07777778,0.35,7.51
22.38333333,0.45,9.51
21.20555556,0.52,6.7
18.26111111,0.62,6.1
17.2,0.67,5.87
15.99444444,0.75,7.12
15.96111111,0.79,7.62
15.44444444,0.72,6.77
14.37222222,0.75,7.34
13.60555556,0.9,0
12.82222222,0.82,8.38
12.75,0.83,6.61
11.41666667,0.92,8.68
12.33333333,0.86,5.78
14.90555556,0.78,8.74
15.89444444,0.74,12.62
17.22777778,0.72,8.54
17.82777778,0.73,8.21
17.91666667,0.72,5.12
19.05555556,0.67,6.52
20.14444444,0.67,3.94
20.26111111,0.62,5.95
21.20555556,0.62,5.37
21.25555556,0.67,6.15
20.23333333,0.66,8.58
19.07777778,0.71,9.42
